method,D1,D2,M,S,p1,p2,p3,p4,p5,p6,p7
Betweenness Centrality,0,0,1,0,0.13157894736842107,0.2368421052631579,0.10526315789473685,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.052631578947368425
Closeness Centrality,0.7206143957208401,1,0.7010906126695114,0,0.6247686543733755,0.6247686543733755,0.6247686543733755,0.11028998671582436,0.11028998671582436,0.11028998671582436,0.11028998671582436
Communication Path Centrality,0.2150754467595276,0.31564543756707486,1,0.14993510248901626,0.434269240027956,0.5008227284258457,0.40297163437243994,0.4467203666141963,0.4467203666141963,0.4467203666141963,0.33639915673543336
Harmonic Communication Centrality,0.37419902765855245,0.5491757315958029,1,0.2608645961619506,0.5769875535206406,0.6022124262330598,0.5769875535206406,0.5626227184419025,0.5626227184419025,0.5626227184419025,0.4288549449037926
Degree Centrality,0.3333333333333333,0.5,1,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Harmonic Centrality,0,0,1,0.5522727272727272,0.13636363636363638,0.27272727272727276,0.13636363636363638,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.27272727272727276
Katz Centrality,0.5959938892397167,0.5959938892397167,1,0.9412445749734034,0.6977364102264031,0.7994789312130895,0.6977364102264031,0.7800553887481484,0.7800553887481484,0.7800553887481484,0.705693418191041
Laplacian Centrality,0.4077639407176467,0.41239543500425735,0.8250714646422622,1,0.4299439230381091,0.47538404883851265,0.39970105609068574,0.42962421026001246,0.4296242102600108,0.4296242102600108,0.3777015092095225
Pagerank,0.12377528138977556,0.12377528138977556,0.5869398139221838,1,0.1763801171476552,0.21055899505530376,0.15795415929742412,0.2900770505741683,0.2900770505741683,0.2900770505741683,0.16062719709023776
Percolation Centrality,0,0,1,0,0.13157894736842105,0.23684210526315788,0.10526315789473685,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.052631578947368425

